0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:57:10 +0800] "POST /CEA101G3/RoomRsvServlet.do HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:57:10 +0800] "POST /CEA101G3/RoomRsvServlet.do HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:57:10 +0800] "POST /CEA101G3/RoomRsvServlet.do HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:57:10 +0800] "POST /CEA101G3/RoomRsvServlet.do HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:57:10 +0800] "POST /CEA101G3/RoomRsvServlet.do HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:57:17 +0800] "GET /CEA101G3/booking/Available?action=booking&date=2021-02-06&stay=0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:57:18 +0800] "POST /CEA101G3/RoomRsvServlet.do HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:57:18 +0800] "POST /CEA101G3/RoomRsvServlet.do HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:57:18 +0800] "POST /CEA101G3/RoomRsvServlet.do HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:57:18 +0800] "POST /CEA101G3/RoomRsvServlet.do HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:57:18 +0800] "POST /CEA101G3/RoomRsvServlet.do HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:57:18 +0800] "POST /CEA101G3/RoomRsvServlet.do HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:57:18 +0800] "POST /CEA101G3/RoomRsvServlet.do HTTP/1.1" 404 781
